epoch,train_loss,train_dice,train_super_dice,train_super_auc,val_loss,val_dice,val_super_dice,val_super_auc
1,0.4256302920029738,0.3927142974749461,nan,0.9232790336589217,0.29635748739257967,0.5812120346416687,0.6918839890641156,0.9878886674905752
2,0.18904450123105396,0.6826396306593567,0.7810415145135023,0.9940891718058973,0.1748257613708747,0.7057941304840918,0.7871409456040847,0.9946930970238373
3,0.1589922371425225,0.7220702045149446,0.8183227308239959,0.9962211630385587,0.16269666560251136,0.7000352494611308,0.7647108474479452,0.9953037720256381
4,0.1431049642433865,0.7444575845139803,nan,0.9971654848648286,0.16304509746360368,0.7213241357099394,0.7908078330068649,0.9942159879155554
5,0.13135245845370358,0.7623097600347049,nan,0.9977330779815904,0.14889346188383884,0.735567943449935,0.8249491615170939,0.9963262914049573
6,0.12488445928992581,0.7719617847102499,0.8623042920308377,0.9981461818550533,0.15436095203240885,0.7396989581656868,nan,0.995465243127611
7,0.11745278070030256,0.7838889138536793,nan,0.998190480681519,0.15671091033788076,0.7495308213963591,0.8100037631468191,0.9960523843765259
8,0.11404926712761164,0.7920723851029221,nan,0.9985109572476327,0.14951427255211205,0.7476119699984275,0.8168968736605724,0.9961244877179464
9,0.1088313052575094,0.7999584166578995,nan,0.9988104652997317,0.1609439748853188,0.7369594949072805,0.7971950186110781,0.9958520563302842
10,0.10402363449169003,0.8074389267967257,nan,0.9987926046558738,0.17566788498440694,0.7274427848129437,0.8064485719634631,0.9939873430289721
11,0.1004288659519773,0.8126915805102131,nan,0.9987426610705912,0.1631919194719401,0.7451593529047638,nan,0.9944015884503526
12,0.09816181390287232,0.8168416857574134,nan,0.9988203716449437,0.16428913691498595,0.741568934911027,0.807655126012267,0.9949789068528584
13,0.09613247678146526,0.8219146562574045,nan,0.999022587052503,0.16455825337947444,0.7449300657829334,0.8233107207951422,0.9956264876801034
14,0.0936656341346222,0.8248043266329768,nan,0.9989961121247445,0.1662244339120285,0.7414414540960871,0.8250215581544076,0.9952584630016676
15,0.09120388366944392,0.8312205173616365,nan,0.9989474637421284,0.17762452410534024,0.7489925750113767,0.8113228113765971,0.9946743793424531
16,0.08883964006132555,0.8332170511242316,nan,0.9992385345143504,0.17473871069799723,0.7328996630064373,0.8087853636484792,0.9940487997122273
17,0.08812568045637498,0.8378992874349315,nan,0.9989491748593832,0.1822087193100617,0.7422644709847097,nan,0.9933572482746259
18,0.08579159059439194,0.8406695211011893,nan,0.999222425093522,0.18306072819014563,0.7448493993423623,0.803557623984795,0.9939668059876535
19,0.08531215948185185,0.842391938989842,nan,0.9991164836098713,0.17199179212209478,0.7317701130703991,0.7982147715259168,0.9943665636910333
20,0.08371822533717739,0.8438438921552127,nan,0.9992508479158353,0.1764769501630859,0.7229059232591555,0.8084983030397758,0.9934864406543681
21,0.08345527718666221,0.8467693953421043,nan,0.9991612631890869,0.17954292522486429,0.7198755561277784,0.8075816914741158,0.9937975772221883
22,0.08043181130241389,0.8499326745538544,nan,0.9993180812389716,0.1849535106328027,0.7409828608084855,0.7978601387798402,0.9923763958226263
23,0.08036946002324755,0.8506310657425544,nan,0.9990072292320936,0.1673812279959434,0.7254886514796265,0.8193649679348376,0.9953448614348536
24,0.07912491338741283,0.8523683248297844,nan,0.9988674569774318,0.17366984448042408,0.7401135536874163,0.811469945333,0.9947550808058845
25,0.07740091984684237,0.85245261324876,nan,0.9993418266456625,0.18663749678445787,0.7425660765890417,0.8099694472892239,0.9942522336329732
26,0.07656025996870676,0.8570679041118269,nan,0.9993403498544503,0.20056218271753912,0.7371885514786017,0.8028645822580835,0.9937630521931818
27,0.08183843871497504,0.8443789000738897,nan,0.9991671337154572,0.17726682139367894,0.7390861706487064,0.804784047321273,0.9940619362725152
28,0.0764179191069634,0.8599306703090367,nan,0.9992571405875377,0.17737857205793262,0.7332024966719849,0.8151565042634586,0.9938265594233454
29,0.07488084474238399,0.8594933000798872,nan,0.9993738623059656,0.18504414678519143,0.7344882129852114,0.8079520683990121,0.9945157103173368
30,0.07504416102095608,0.8574524649955332,nan,0.9993493529765503,0.1894803307629351,0.7363325268800917,0.8078305906952371,0.9938718596381457
31,0.07506245995165815,0.8593904413943292,nan,0.9991955440023133,0.18687754053750943,0.7473211635289521,0.8154035754825936,0.9937496211560287
