epoch,train_loss,train_acc,train_dice,val_loss,val_acc,val_dice
1,0.7340051491770522,0.7938426297406707,0.16091401781960965,0.6591582122290957,0.8026145481971946,0.19797578640282154
2,0.4346183921762143,0.8626116536422337,0.40438664810941605,0.2779256226816054,0.9049566933935173,0.5885478764258582
3,0.233392389997397,0.9181618187668807,0.6552927170538061,0.20151214420410066,0.9292284282231239,0.7067750261390003
4,0.1840440615074365,0.9333609220806679,0.7160085578708101,0.1834978426260681,0.9345483524132505,0.7289854014485047
5,0.1608249148662398,0.9405236173334142,0.7434049403006231,0.1714571752938731,0.9375624601868378,0.7344351914422266
6,0.1504369429747659,0.9438967942122891,0.7595958869346673,0.1743002387791358,0.9412487585425834,0.7435519250816313
7,0.1401572567376164,0.9469681996505028,0.7729733337266588,0.15375464849559398,0.9450224149272817,0.7623904012143612
8,0.13376944851834177,0.9490156972371736,0.780520333457667,0.15168795943388652,0.944454960439397,0.7616066179912666
9,0.12701681737971912,0.9512689733988948,0.7898437504630907,0.16627608321542883,0.9407610546126677,0.7515750908260715
10,0.12177259519779284,0.9529117679618445,0.7978429836230926,0.16358090802256403,0.9434942559720912,0.7618181176226715
