epoch,train_loss,train_acc,train_dice,val_loss,val_acc,val_dice
1,0.49384423619780826,0.8516154261123574,0.383892621030594,0.24242486425771795,0.9151519176146993,0.6420067447269785
2,0.21410046701740687,0.9242010123326436,0.6806070442349035,0.17774571934393768,0.9361303336775623,0.7103910130801899
3,0.17276393255661784,0.9369837699506777,0.7289227196578957,0.17287296011787037,0.9373443793519703,0.712919003940348
4,0.1548967487999335,0.942469701026796,0.7512189818036025,0.16502375762652735,0.9391653492076187,0.7424057861468916
5,0.14425604544568119,0.9458456658113393,0.7684837240792985,0.17467347140712985,0.9392299871335085,0.7267164102402227
6,0.13594473441845228,0.9484843150375305,0.7761293500740943,0.16470971652146044,0.9420447440896454,0.7447340223167477
7,0.1293798010972291,0.9505076002304103,0.7864034537625383,0.15873458713357305,0.9433276297032148,0.7511337730262814
8,0.1240916092328395,0.9521810064115567,0.7933799220494245,0.1791462548044992,0.9408302087893431,0.7443041572796887
9,0.12054753116867852,0.9534982234471585,0.7984879141981909,0.16147162408792767,0.9426692509559836,0.7545710698027035
10,0.11574217581018141,0.9549504365806283,0.8053614245707885,0.16048942056709323,0.9438766464876489,0.7638497475277761
11,0.11160267647672167,0.9564238568751647,0.811180464781014,0.1571772960335787,0.9467639703860228,0.7568041318064106
12,0.10812471308320318,0.9576421563539282,0.8194429296782664,0.15415520368721977,0.9463112418222245,0.7638269262067203
13,0.10618889498358272,0.9582858448968965,0.8240200503671942,0.158376921690872,0.9463532400313922,0.7614518410429872
14,0.10346966190609662,0.9593277517482058,0.8249408564512517,0.16047989501585735,0.9457868597973352,0.7673867247227965
15,0.1048338777447938,0.9590469413445957,0.8256516116186818,0.16578422538165388,0.9458365970187717,0.7653782667014105
16,0.09885389101642111,0.9609829362031002,0.8307713117893397,0.16727081700709873,0.9440349783477199,0.7628535422785528
17,0.09793879165592942,0.9612827359519215,0.8353537373549271,0.1594628368600689,0.9449711138261232,0.7429640955966095
18,0.09600361085975356,0.9619819567321072,0.8371606035901514,0.16989285367187754,0.9463117752952137,0.767339618683889
19,0.095867665889406,0.9620804477339787,0.8426569682919676,0.155535529608485,0.947819165343069,0.7627088151358324
20,0.09242232519077362,0.96323312479079,0.847418117295405,0.17795026165850716,0.9444206208561572,0.750782528699472
21,0.09107784538049322,0.9637234942703266,0.8457957722954531,0.17656724182246575,0.9428093862716266,0.7678333595395088
22,0.0895732581104308,0.964287876436018,0.8511016531837531,0.17843583905427107,0.9467945683504887,0.7644095664908146
23,0.09035540607435562,0.9641691650189046,0.8475883494916268,0.23602774479137412,0.9280103340002769,0.7264617863914062
24,0.08828233819081192,0.9647858775598481,0.851923073529248,0.16945750203690138,0.9462654289157911,0.7613356740310274
25,0.08667918954008988,0.9653963834560545,0.8533434222873514,0.16149844500589475,0.9469720175439827,0.7592072185642761
26,0.08589312894172935,0.9656852205622503,0.855023208531035,0.17169885897752027,0.9462507986017571,0.767220528667857
27,0.08344764528191013,0.9665406657491379,0.8578792816391828,0.16818220367462472,0.9465528904706583,0.7611788265278627
28,0.08414595220939923,0.9663402065125015,0.8591074385203722,0.174642499825307,0.9458605448404948,0.747416158945396
29,0.08372160050728321,0.9665616713314862,0.8573154334686776,0.182946779781246,0.9448071841535897,0.7620922907673079
30,0.08159250410910371,0.9672726192235891,0.8606825778241054,0.18880524242232585,0.9443120919881652,0.7599081377787836
31,0.08154888880773271,0.9673234287594028,0.860083069658251,0.1743639443262384,0.9467993476838444,0.766424468429438
32,0.08125374275022394,0.9674394107646722,0.8625473751075519,0.20035283868040504,0.9445050849768394,0.7572924072115585
33,0.07884319581836857,0.9682931915772751,0.8656264761435125,0.19118291923198208,0.9455815311592658,0.7621620774012188
34,0.0787114929407835,0.9683756224246879,0.8642210129336029,0.18382413375416193,0.94518542381082,0.7712104035348728
35,0.08102646494687647,0.9676615559118316,0.8628830703849373,0.18481548758352112,0.9470356104474414,0.7613140235430208
36,0.07743649477472296,0.9688307795217505,0.867289382086438,0.17634783553537622,0.9461031362014712,0.7553243064161005
37,0.07798488638531852,0.9686802735613269,0.8697065976319831,0.188886944043996,0.9458492469056813,0.7469007782638073
38,0.07837751811427596,0.9685629781447201,0.8676119173250127,0.18437327723950148,0.9451227882356023,0.7626228518784046
39,0.07707517835481642,0.9690100644438524,0.8683721710099283,0.18794770593401686,0.9463333334502589,0.7588304878565771
40,0.07564932676407879,0.9694946668822407,0.8716234549634839,0.20002363334763154,0.945772309869642,0.7524580381296831
41,0.07537118676059233,0.9696478037149114,0.8713731950271535,0.184164070395817,0.945748150120293,0.7569222606333166
42,0.07520305943050502,0.96971973717058,0.8732762558350138,0.1856721306605072,0.9458991302841011,0.7563364726716074
43,0.07401838484803519,0.9701031920875572,0.8751846530342241,0.17396939801180672,0.9454988940008755,0.7632449852495358
44,0.07481997733838824,0.9699704763489417,0.873007846707498,0.20838499059579496,0.9354020407373421,0.717607417240225
45,0.07365167136066801,0.970325357482579,0.8745163230842371,0.18636260147945122,0.9448582221721781,0.7621078069867759
46,0.07494941549726629,0.9699200897684748,0.8719798631060497,0.18879089905912505,0.9399707326487107,0.7442011249990299
47,0.07225191656642468,0.9707450164773325,0.8759410289331733,0.17970316641931905,0.9458207462939267,0.7605895081470753
48,0.07932227915904293,0.9684364578020295,0.868670778511183,0.1826139908958355,0.946162855944871,0.7630236963902054
49,0.0744016987005656,0.970079651922796,0.8735861986689665,0.18610060513661852,0.9415156777334396,0.751562125980854
50,0.0737048705015035,0.970438397698426,0.8713485085585346,0.19686561236800304,0.9453633114752642,0.747676434830345
