epoch,train_loss,train_dice,train_super_dice,train_super_auc,val_loss,val_dice,val_super_dice,val_super_auc
1,0.5219177988134404,0.3042442142092136,nan,0.89535112217137,0.2760322096532789,0.5958737741417155,0.6702577289350125,0.9837512847638026
2,0.23840059734477548,0.6424532273936369,nan,0.9911729168324244,0.22743747665964323,0.6738496856314355,0.7516865254792784,0.9929520530360085
3,0.19446611097339547,0.6936410055997351,nan,0.9947452197351205,0.24087683718394617,0.6812424733592518,0.7278481056703373,0.9913721514486633
4,0.17281155340519838,0.7178550180606218,nan,0.9961557714957131,0.1796578323982399,0.7042479979452388,0.7691764379167962,0.9953940276588712
5,0.16071313150986366,0.7279762109307246,nan,0.9968230447160189,0.25338782633429974,0.6880342992472237,0.8101643377057981,0.99564908910953
6,0.14899100788578296,0.7426012077482496,nan,0.9973057707366384,0.1637340110469738,0.7349748175334314,0.8174865834124523,0.9962406325758549
7,0.14053735045781418,0.754715865941102,nan,0.9976459591655757,0.1703045454903923,0.7228316148614575,0.7950102130340942,0.9959364940416445
8,0.13429705902336922,0.7633955967573018,nan,0.9979557242272613,0.17627219984243656,0.7298939202366204,0.8185134008556764,0.9956042165341584
9,0.1299283016401871,0.7729750857342453,nan,0.9982290408342095,0.17895902606562294,0.7200203222977318,nan,0.9940950545641754
10,0.12563593254766708,0.776666076357544,nan,0.9982291775069625,0.15953218649494752,0.7461713457415844,0.8226393847506062,0.996524380048116
11,0.12089956109263715,0.7825879324649502,nan,0.9985295302858839,0.16560040597386402,0.7491268856001312,nan,0.9962887751019519
12,0.11542057498524286,0.7935992725235025,0.8831997781633226,0.9987083453813503,0.16140576188677344,0.7415020686638509,0.8202630532640435,0.9964019729702484
13,0.11378589048863026,0.7977831476422097,nan,0.9987573927236679,0.18198030928535194,0.7271148190544597,nan,0.9957802696519543
14,0.10975706001601307,0.8027849329696475,nan,0.9989440760517043,0.18647322424783788,0.7191052385124153,nan,0.9954466546906365
15,0.10822547011417505,0.8060816620133566,nan,0.9989269855152665,0.16922897236935538,0.7508989351576772,0.8297360494511454,0.9955799204813861
16,0.10478819632752465,0.8095678303920535,nan,0.9990584942890076,0.1863112433909856,0.7236019915555892,0.7971242779902299,0.9941550321049161
17,0.10256053977339448,0.8165922636759799,nan,0.9989665809634447,0.17677514086445345,0.7333762003751151,0.8257145602292099,0.9955726093028014
