epoch,train_loss,train_dice,train_super_dice,train_super_auc,val_loss,val_dice,val_super_dice,val_super_auc
1,0.5776156553535894,0.30909849289036506,nan,0.8763728653784449,0.33665218641018047,0.5717328045645664,0.7866898777030492,0.9758537615532483
2,0.2873924060679197,0.6216572277532642,0.8133391125332636,0.9811425491057811,0.24298415695927267,0.6811281694420452,0.8334083336180654,0.9855204620238008
3,0.22077169931333535,0.6929674815572403,0.8454396008376002,0.9875284491146499,0.22076614429082336,0.7109237793704559,0.8556449184643811,0.9883283903372699
4,0.1933180132738439,0.7195164958398687,0.8598851144165355,0.9900860591506553,0.1998526786678824,0.7043609301848658,0.8689035548475282,0.9896658820838764
